content,brand,model,score,sentiment_original,score_dict,sentiment_dict
sam telefon fajny natomiast poważna wada posiadam taki sam model dystrybucji firmy xcom aktualizuje najnowszego softu miui 11 tą chwilę natomiast telefon kupiony sklepie niestety soft miui 10 rynek czeski niechce zaktualizować miui 11 a zrobić telefon flashowac ciężkie błąd zrobiłem zapłacić troche więcej 50 mieć telefon normalnymi aktualizacjami,Xiaomi,Mi9,0.2,N,-0.20408163265306123,N
telefon oceniam 3 5 stopniowej skali cena 25 kieszeni wariuje zablokowania potrafi notorycznie wybierać alarmowe telefon kilkadziesiąt razy zblokował 1 min czytnik linii papilarnych ekranem niby działa wystarczy większe naświetlenie pełne słońce robi mało ciekawie rozpoznawanie twarzy działa dobrze dobrym oświetleniu wystarczą okulary przeciwsłoneczne półmrok rozpoznawanie twarzy podoła aparaty dają rade pewnych sytuacjach lepiej iphone xs a pewnych gorzej najtwardsza przesiadka ios androida nigdy miałem androidem mój pierwszy przestawiam 3 tyg widać światełko tunelu więcej eksperymentować będę następny ios android wielu przewag taki trochę autystyk zastanawiasz przesiadką ios andka przemyśl,Xiaomi,Mi9,0.6,P,0.43333333333333335,P
opisie ładowarka bezprzewodowa a ito fer,Xiaomi,Mi9,0.7,P,0.0,P
jakiś czas poznam bliżej,Xiaomi,Mi9,0.7,P,0.0,P
działa powinno bateria słabo trzyma,Xiaomi,Mi9,0.8,P,0.2,P
telefon fajny przesiadłem xiaomi redmi note 5 mogę powiedzieć dwóch dniach opłaca przesiadać dlaczego telefon telefon skonfigurowałem mi9 pierwsza niedogodność odblokowanie odciskiem palca note 5 przykładami odblokowuje mi9 dziesięć razy klikać chciałem przenieść dane funkcją przenieś dane note 5 szybko gotowy przenoszenia a mi9 mógł połączyć połączeniu transfer danych trakcie mi9 zawieszał zwisie dało sparować pomagał restart mi9 podłączeniu ładowarki jednego drugiego sama mocna ładowarka trzema usb kablem 3a ładuje note 5 natężeniem 19 a a mi9 14 a daje 7w ponoć mieć 15w dniu użytkowania mi9 rozładowany a note 5 trzech dniach 20 baterii chcesz mieć telefon pracy a masz note 5 kupić 600 mi9 2k kup czystym sumieniem note 5 zmienia faktu mi9 szybki ładny dużo pamięci,Xiaomi,Mi9,0.8,P,0.13445378151260504,P
witam telefon posiadam tygodnia spisuje świetnie aparat robi dobre zdjęcia działa szybko zacięć ekran amoled robi różnicę porównaniu ips jedną wadą dość krótkie trzymanie baterii dzięki szybkiemu ładowaniu szybko uzupełnić,Xiaomi,Mi9,0.8,P,0.36666666666666664,P
super ekran aparat gps prędkość bateria ciekawe spuchnie ładować codziennie a czasem dwa razy git,Xiaomi,Mi9,0.8,P,0.8,P
wiem kwestia nowego androida przesiadka 6 chyba nakładki producenta poprzednio miałem honora odnalezienie czegoś ustawieniach istna męczarnia niektórych opcji automatyczne włączaniewyłączanie wifi podstawie lokalizacji ogóle udało odnaleźć dogrzebanie always display mega nieintuicyjne czytnik odcisków palca działa nieźle kciuk ekran palec mokry brudny 95 skuteczności mniej więcej przypadku palca wskazującego 5050 mam wcale małych palców ciekawe radzą kobiety czas pracy baterii zależy podczas wyjazdu dużo używałem aparatu bateria leciała szybko użytkowaniu codziennym wytrzymać 2 dni grania aparat niezły aplikacja edycji filmów slowmotion trochę wariuje recenzjach mówiono always display pojawiają powiadomienia sms telefon dodali messengera pojawia mail aplikacja gmail pokazuje żadnych powiadomień kalendarz zwróciłem uwagi dioda powiadomień właściwie niewidoczna always display nadrabia wsadziliby baterię 4000mah ogarnęli ustawienia byłoby 55 a 4,Xiaomi,Mi9,0.8,P,0.18487394957983194,P
telefon swojej cenie bezkonkurencyjny kątem wydajności dobry ekran nadający oglądania filmów wysokim komforcie istotnych cech brak odczuwam ip68 cenę pójść jakieś kompromisy,Xiaomi,Mi9,0.8,P,0.9090909090909091,P
